,Variable,index_20,index_21,index_22
646,h17a041,646.0,,
647,h17a042,647.0,,
648,h17a043a,648.0,,
649,h17a043b,649.0,,
650,h17a043c,650.0,,
651,h17a043d,651.0,,
652,h17a043e,652.0,,
653,nota17n,653.0,,
654,h1700,654.0,,
655,h1701,655.0,,
656,h1702,656.0,,
657,h1703,657.0,,
658,h1704,658.0,,
659,h1706,659.0,,
660,h1707,660.0,,
661,h1708,661.0,,
662,h1709,662.0,,
663,h1710,663.0,,
664,h1711,664.0,,
665,h1712,665.0,,
666,h1713,666.0,,
667,h1714,667.0,,
668,h1715,668.0,,
669,h1716,669.0,,
670,h1718,670.0,,
671,h1719a,671.0,,
672,h1719,672.0,,
673,h1720,673.0,,
674,h1721,674.0,,
678,tiempo,678.0,,164.0
681,fol_rem,681.0,,
683,region_cv,683.0,,
687,ponde_g,687.0,,
688,rural_20,688.0,,
689,ponde_f20,689.0,,
690,ponde_g20,690.0,,
691,area_20,691.0,,
692,region,,30.0,31.0
693,region_s,,31.0,
694,vivienda,,35.0,
695,hogar,,36.0,
696,h0116,,55.0,
697,h0117a,,56.0,
698,h0117b,,57.0,
699,h0117c,,58.0,
700,h0117d,,59.0,
701,h0123esp,,66.0,60.0
702,h0124,,67.0,61.0
703,h0125,,68.0,62.0
704,h0126a,,69.0,
705,h0126b,,70.0,
706,h0126c,,71.0,
707,h0126d,,72.0,
708,h0126e,,73.0,
709,h0127a,,74.0,
710,h0127b,,75.0,
711,h0127c,,76.0,
712,h0127d,,77.0,
713,h0127e,,78.0,
714,h0327,,87.0,73.0
715,nota5a,,89.0,77.0
716,h0501a,,90.0,78.0
717,h0501b,,91.0,79.0
718,h0501c,,92.0,80.0
719,h0501d,,93.0,
720,h0501e,,94.0,81.0
721,h0501f,,95.0,82.0
722,h0501g,,96.0,83.0
723,h0501h,,97.0,
724,h0501i,,98.0,
725,h0501j,,99.0,
726,h0501k,,100.0,84.0
727,h0501l,,101.0,85.0
728,h0501m,,102.0,
729,h0501n,,103.0,86.0
730,h0501o,,104.0,87.0
731,h0702,,108.0,
732,h0704,,110.0,
733,h0706,,112.0,
734,h0708,,114.0,
735,h0709,,115.0,
736,h0710,,116.0,
737,h0711,,117.0,
738,h0712,,118.0,
739,h0713,,119.0,
740,h0714,,120.0,
741,h0715,,121.0,
742,h0716,,122.0,
743,h1002,,146.0,
744,h1003,,147.0,
745,h1004,,149.0,
746,h1005c,,152.0,
747,h1005e,,153.0,
748,h1006,,154.0,
749,h1007a,,155.0,
750,h1007b,,156.0,
751,h1007c,,157.0,
752,h1007e,,158.0,
753,nota11,,159.0,
754,h1101,,160.0,
755,h1102a,,161.0,
756,h1102b,,162.0,
757,h1102c,,163.0,
758,h1102d,,164.0,
759,h1103a,,165.0,
760,h1103b,,166.0,
761,h1103c,,167.0,
762,h1103d,,168.0,
763,h1103e,,169.0,
764,h1103f,,170.0,
765,h1103g,,171.0,
766,h1103h,,172.0,
767,h1103i,,173.0,
768,h1103j,,174.0,
769,h1103k,,175.0,
770,h1103l,,176.0,
771,h1103m,,177.0,
772,h1103n,,178.0,
773,h1103o,,179.0,
774,h1104a,,180.0,
775,h1104b,,181.0,
776,h1104c,,182.0,
777,h1104d,,183.0,
778,h1301,,186.0,
779,h1301a,,187.0,
780,h1302,,188.0,
781,h1302a,,189.0,
782,h1303,,190.0,
783,h1303a,,191.0,
784,h1304,,192.0,
785,h1304a,,193.0,
