,0,1
desc_ent_y_Frequency_30 VERACRUZ DE IGNACIO DE LA LLAVE,49,17
desc_ent_y_Frequency_31 YUCATÁN,46,3
desc_ent_y_Frequency_32 ZACATECAS,51,15
nota1a_Frequency_1,1996,666
h0101_Frequency_1,6,10
h0101_Frequency_2,7,1
h0101_Frequency_3,264,125
h0101_Frequency_4,112,42
h0101_Frequency_5,7,0
h0101_Frequency_6,42,15
h0101_Frequency_7,16,7
h0101_Frequency_8,12,4
h0101_Frequency_9,1530,462
h0102_Frequency_1,1,4
h0102_Frequency_2,1,0
h0102_Frequency_3,16,5
h0102_Frequency_4,5,1
h0102_Frequency_5,6,0
h0102_Frequency_6,51,22
h0102_Frequency_7,102,41
h0102_Frequency_8,1814,593
h0103_Frequency_1,39,10
h0103_Frequency_2,1092,407
h0103_Frequency_3,865,249
h0106_Frequency_1,1903,635
h0106_Frequency_2,93,31
h0108_Frequency_1,101,35
h0108_Frequency_2,1802,600
h0110_Frequency_1,1692,526
h0110_Frequency_2,28,8
h0110_Frequency_3,201,85
h0110_Frequency_4,43,38
h0110_Frequency_5,6,4
h0110_Frequency_6,16,5
h0111_Frequency_1,1986,660
h0111_Frequency_2,10,6
h0112_Frequency_1,1565,474
h0112_Frequency_2,342,153
h0112_Frequency_3,89,39
h0113_Frequency_1,1704,551
h0113_Frequency_2,161,65
h0113_Frequency_3,13,3
h0113_Frequency_4,4,1
h0113_Frequency_5,25,7
h0118_Frequency_1,1534,481
h0118_Frequency_2,416,174
h0118_Frequency_3,13,4
h0118_Frequency_4,4,4
h0118_Frequency_5,29,3
h0119_Frequency_1,1413,440
h0119_Frequency_2,530,205
h0119_Frequency_3,44,18
h0119_Frequency_4,9,3
h0120_Frequency_1,129,66
h0120_Frequency_2,1858,597
h0122_Frequency_1,164,71
h0122_Frequency_2,1832,595
h0125_Frequency_1,198,58
h0125_Frequency_2,183,68
h0125_Frequency_3,112,19
h0125_Frequency_4,1482,511
h0125_Frequency_5,17,8
h0125_Frequency_6,4,2
nota2_Frequency_1,1996,666
h0201_Frequency_1,1992,662
h0201_Frequency_2,4,4
h305t_Frequency_1,2001,667
h0327_Frequency_1,929,343
h0327_Frequency_2,544,161
h0327_Frequency_3,262,68
h0327_Frequency_4,87,38
h0327_Frequency_5,48,16
h0327_Frequency_6,16,13
h0327_Frequency_8,62,15
h0327_Frequency_9,53,13
h0501a_Frequency_1,1871,604
h0501a_Frequency_2,130,63
h0501b_Frequency_1,999,271
h0501b_Frequency_2,1002,396
h0501c_Frequency_1,641,230
h0501c_Frequency_2,1360,437
h0501e_Frequency_1,830,188
h0501e_Frequency_2,1171,479
h0501f_Frequency_1,1901,608
h0501f_Frequency_2,100,59
h0501g_Frequency_1,1231,349
h0501g_Frequency_2,770,318
h0501k_Frequency_1,1842,589
h0501k_Frequency_2,159,78
h0501l_Frequency_1,1849,603
h0501l_Frequency_2,152,64
h0501n_Frequency_1,1550,472
h0501n_Frequency_2,451,195
h0501o_Frequency_1,910,267
h0501o_Frequency_2,1091,400
h0801_Frequency_1,1287,381
h0801_Frequency_2,287,98
h0801_Frequency_3,207,93
h0801_Frequency_4,117,50
h0801_Frequency_5,97,43
h0801_Frequency_88,6,2
h0801_Frequency_99,0,0
h0802_Frequency_1,1198,356
h0802_Frequency_2,344,108
h0802_Frequency_3,236,90
h0802_Frequency_4,121,63
h0802_Frequency_5,86,44
h0802_Frequency_88,15,6
h0802_Frequency_99,1,0
h0803_Frequency_1,1337,427
h0803_Frequency_2,280,72
h0803_Frequency_3,202,95
h0803_Frequency_4,114,38
h0803_Frequency_5,62,31
h0803_Frequency_88,6,4
h0803_Frequency_99,0,0
h0804_Frequency_1,1410,446
h0804_Frequency_2,293,84
h0804_Frequency_3,162,71
h0804_Frequency_4,87,43
h0804_Frequency_5,43,21
h0804_Frequency_88,6,2
h0804_Frequency_99,0,0
h0805_Frequency_1,1510,482
h0805_Frequency_2,253,79
h0805_Frequency_3,132,63
h0805_Frequency_4,62,29
h0805_Frequency_5,38,12
h0805_Frequency_88,6,2
h0805_Frequency_99,0,0
h0806_Frequency_1,1591,528
h0806_Frequency_2,226,54
h0806_Frequency_3,106,51
h0806_Frequency_4,44,22
h0806_Frequency_5,28,10
h0806_Frequency_88,6,2
h0806_Frequency_99,0,0
h0807_Frequency_1,1518,475
h0807_Frequency_2,250,77
h0807_Frequency_3,139,75
h0807_Frequency_4,53,27
h0807_Frequency_5,35,11
h0807_Frequency_88,6,2
h0807_Frequency_99,0,0
h0808_Frequency_1,1659,548
h0808_Frequency_2,186,54
h0808_Frequency_3,90,39
h0808_Frequency_4,34,14
h0808_Frequency_5,22,9
h0808_Frequency_88,9,3
h0808_Frequency_99,1,0
h0810_Frequency_1,1759,567
h0810_Frequency_2,144,51
h0810_Frequency_3,57,31
h0810_Frequency_4,18,9
h0810_Frequency_5,15,7
h0810_Frequency_88,7,2
h0810_Frequency_99,1,0
h0811_Frequency_1,1532,482
h0811_Frequency_2,196,63
h0811_Frequency_3,123,55
h0811_Frequency_4,62,26
h0811_Frequency_5,79,39
h0811_Frequency_88,8,2
h0811_Frequency_99,1,0
Dolor_Frequency_0,2001,0
Dolor_Frequency_1,0,667
